"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INCOMEINEQ","GINI","INEQ","A","2012",0.326,
"AUS","INCOMEINEQ","GINI","INEQ","A","2014",0.337,
"AUT","INCOMEINEQ","GINI","INEQ","A","2012",0.276,
"AUT","INCOMEINEQ","GINI","INEQ","A","2013",0.28,
"AUT","INCOMEINEQ","GINI","INEQ","A","2014",0.274,
"AUT","INCOMEINEQ","GINI","INEQ","A","2015",0.275,
"BEL","INCOMEINEQ","GINI","INEQ","A","2012",0.265,
"BEL","INCOMEINEQ","GINI","INEQ","A","2013",0.265,
"BEL","INCOMEINEQ","GINI","INEQ","A","2014",0.267,
"BEL","INCOMEINEQ","GINI","INEQ","A","2015",0.268,
"CAN","INCOMEINEQ","GINI","INEQ","A","2012",0.317,
"CAN","INCOMEINEQ","GINI","INEQ","A","2013",0.32,
"CAN","INCOMEINEQ","GINI","INEQ","A","2014",0.313,
"CAN","INCOMEINEQ","GINI","INEQ","A","2015",0.318,
"CZE","INCOMEINEQ","GINI","INEQ","A","2012",0.254,
"CZE","INCOMEINEQ","GINI","INEQ","A","2013",0.259,
"CZE","INCOMEINEQ","GINI","INEQ","A","2014",0.257,
"CZE","INCOMEINEQ","GINI","INEQ","A","2015",0.258,
"DNK","INCOMEINEQ","GINI","INEQ","A","2012",0.249,
"DNK","INCOMEINEQ","GINI","INEQ","A","2013",0.254,
"DNK","INCOMEINEQ","GINI","INEQ","A","2014",0.256,
"DNK","INCOMEINEQ","GINI","INEQ","A","2015",0.263,
"FIN","INCOMEINEQ","GINI","INEQ","A","2012",0.26,
"FIN","INCOMEINEQ","GINI","INEQ","A","2013",0.262,
"FIN","INCOMEINEQ","GINI","INEQ","A","2014",0.257,
"FIN","INCOMEINEQ","GINI","INEQ","A","2015",0.26,
"FRA","INCOMEINEQ","GINI","INEQ","A","2012",0.305,
"FRA","INCOMEINEQ","GINI","INEQ","A","2013",0.291,
"FRA","INCOMEINEQ","GINI","INEQ","A","2014",0.293,
"FRA","INCOMEINEQ","GINI","INEQ","A","2015",0.295,
"DEU","INCOMEINEQ","GINI","INEQ","A","2012",0.289,
"DEU","INCOMEINEQ","GINI","INEQ","A","2013",0.292,
"DEU","INCOMEINEQ","GINI","INEQ","A","2014",0.289,
"DEU","INCOMEINEQ","GINI","INEQ","A","2015",0.293,
"GRC","INCOMEINEQ","GINI","INEQ","A","2012",0.338,
"GRC","INCOMEINEQ","GINI","INEQ","A","2013",0.342,
"GRC","INCOMEINEQ","GINI","INEQ","A","2014",0.339,
"GRC","INCOMEINEQ","GINI","INEQ","A","2015",0.34,
"HUN","INCOMEINEQ","GINI","INEQ","A","2012",0.279,
"HUN","INCOMEINEQ","GINI","INEQ","A","2013",0.286,
"HUN","INCOMEINEQ","GINI","INEQ","A","2014",0.281,
"HUN","INCOMEINEQ","GINI","INEQ","A","2015",0.284,
"ISL","INCOMEINEQ","GINI","INEQ","A","2012",0.252,
"ISL","INCOMEINEQ","GINI","INEQ","A","2013",0.24,
"ISL","INCOMEINEQ","GINI","INEQ","A","2014",0.246,
"ISL","INCOMEINEQ","GINI","INEQ","A","2015",0.257,
"IRL","INCOMEINEQ","GINI","INEQ","A","2012",0.31,
"IRL","INCOMEINEQ","GINI","INEQ","A","2013",0.312,
"IRL","INCOMEINEQ","GINI","INEQ","A","2014",0.298,
"IRL","INCOMEINEQ","GINI","INEQ","A","2015",0.298,
"ITA","INCOMEINEQ","GINI","INEQ","A","2012",0.33,
"ITA","INCOMEINEQ","GINI","INEQ","A","2013",0.325,
"ITA","INCOMEINEQ","GINI","INEQ","A","2014",0.326,
"ITA","INCOMEINEQ","GINI","INEQ","A","2015",0.333,
"JPN","INCOMEINEQ","GINI","INEQ","A","2012",0.33,
"JPN","INCOMEINEQ","GINI","INEQ","A","2015",0.339,
"KOR","INCOMEINEQ","GINI","INEQ","A","2015",0.352,
"LUX","INCOMEINEQ","GINI","INEQ","A","2015",0.306,
"MEX","INCOMEINEQ","GINI","INEQ","A","2012",0.457,
"MEX","INCOMEINEQ","GINI","INEQ","A","2014",0.459,
"NLD","INCOMEINEQ","GINI","INEQ","A","2012",0.288,
"NLD","INCOMEINEQ","GINI","INEQ","A","2013",0.287,
"NLD","INCOMEINEQ","GINI","INEQ","A","2014",0.303,
"NLD","INCOMEINEQ","GINI","INEQ","A","2015",0.288,
"NZL","INCOMEINEQ","GINI","INEQ","A","2012",0.333,
"NZL","INCOMEINEQ","GINI","INEQ","A","2014",0.349,
"NOR","INCOMEINEQ","GINI","INEQ","A","2012",0.253,
"NOR","INCOMEINEQ","GINI","INEQ","A","2013",0.252,
"NOR","INCOMEINEQ","GINI","INEQ","A","2014",0.257,
"NOR","INCOMEINEQ","GINI","INEQ","A","2015",0.272,
"POL","INCOMEINEQ","GINI","INEQ","A","2012",0.298,
"POL","INCOMEINEQ","GINI","INEQ","A","2013",0.299,
"POL","INCOMEINEQ","GINI","INEQ","A","2014",0.297,
"POL","INCOMEINEQ","GINI","INEQ","A","2015",0.291,
"PRT","INCOMEINEQ","GINI","INEQ","A","2012",0.337,
"PRT","INCOMEINEQ","GINI","INEQ","A","2013",0.341,
"PRT","INCOMEINEQ","GINI","INEQ","A","2014",0.338,
"PRT","INCOMEINEQ","GINI","INEQ","A","2015",0.336,
"SVK","INCOMEINEQ","GINI","INEQ","A","2012",0.251,
"SVK","INCOMEINEQ","GINI","INEQ","A","2013",0.27,
"SVK","INCOMEINEQ","GINI","INEQ","A","2014",0.247,
"SVK","INCOMEINEQ","GINI","INEQ","A","2015",0.25,
"ESP","INCOMEINEQ","GINI","INEQ","A","2012",0.334,
"ESP","INCOMEINEQ","GINI","INEQ","A","2013",0.345,
"ESP","INCOMEINEQ","GINI","INEQ","A","2014",0.343,
"ESP","INCOMEINEQ","GINI","INEQ","A","2015",0.344,
"SWE","INCOMEINEQ","GINI","INEQ","A","2013",0.268,
"SWE","INCOMEINEQ","GINI","INEQ","A","2014",0.274,
"SWE","INCOMEINEQ","GINI","INEQ","A","2015",0.278,
"CHE","INCOMEINEQ","GINI","INEQ","A","2012",0.285,
"CHE","INCOMEINEQ","GINI","INEQ","A","2013",0.295,
"CHE","INCOMEINEQ","GINI","INEQ","A","2014",0.297,
"CHE","INCOMEINEQ","GINI","INEQ","A","2015",0.296,
"TUR","INCOMEINEQ","GINI","INEQ","A","2012",0.399,
"TUR","INCOMEINEQ","GINI","INEQ","A","2013",0.39,
"TUR","INCOMEINEQ","GINI","INEQ","A","2014",0.398,
"TUR","INCOMEINEQ","GINI","INEQ","A","2015",0.404,
"GBR","INCOMEINEQ","GINI","INEQ","A","2012",0.351,
"GBR","INCOMEINEQ","GINI","INEQ","A","2013",0.358,
"GBR","INCOMEINEQ","GINI","INEQ","A","2014",0.356,
"GBR","INCOMEINEQ","GINI","INEQ","A","2015",0.36,
"USA","INCOMEINEQ","GINI","INEQ","A","2013",0.396,
"USA","INCOMEINEQ","GINI","INEQ","A","2014",0.394,
"USA","INCOMEINEQ","GINI","INEQ","A","2015",0.39,
"CHL","INCOMEINEQ","GINI","INEQ","A","2013",0.465,
"CHL","INCOMEINEQ","GINI","INEQ","A","2015",0.454,
"EST","INCOMEINEQ","GINI","INEQ","A","2013",0.356,
"EST","INCOMEINEQ","GINI","INEQ","A","2014",0.346,
"EST","INCOMEINEQ","GINI","INEQ","A","2015",0.33,
"ISR","INCOMEINEQ","GINI","INEQ","A","2012",0.371,
"ISR","INCOMEINEQ","GINI","INEQ","A","2013",0.36,
"ISR","INCOMEINEQ","GINI","INEQ","A","2014",0.365,
"ISR","INCOMEINEQ","GINI","INEQ","A","2015",0.36,
"SVN","INCOMEINEQ","GINI","INEQ","A","2012",0.249,
"SVN","INCOMEINEQ","GINI","INEQ","A","2013",0.254,
"SVN","INCOMEINEQ","GINI","INEQ","A","2014",0.251,
"SVN","INCOMEINEQ","GINI","INEQ","A","2015",0.25,
"LVA","INCOMEINEQ","GINI","INEQ","A","2012",0.346,
"LVA","INCOMEINEQ","GINI","INEQ","A","2013",0.351,
"LVA","INCOMEINEQ","GINI","INEQ","A","2014",0.349,
"LVA","INCOMEINEQ","GINI","INEQ","A","2015",0.346,
"LTU","INCOMEINEQ","GINI","INEQ","A","2012",0.35,
"LTU","INCOMEINEQ","GINI","INEQ","A","2013",0.351,
"LTU","INCOMEINEQ","GINI","INEQ","A","2014",0.38,
"LTU","INCOMEINEQ","GINI","INEQ","A","2015",0.372,
"CRI","INCOMEINEQ","GINI","INEQ","A","2012",0.483,
"CRI","INCOMEINEQ","GINI","INEQ","A","2013",0.494,
"CRI","INCOMEINEQ","GINI","INEQ","A","2014",0.485,
"CRI","INCOMEINEQ","GINI","INEQ","A","2015",0.479,
"ZAF","INCOMEINEQ","GINI","INEQ","A","2015",0.62,"P"
"BRA","INCOMEINEQ","GINI","INEQ","A","2013",0.47,
"BGR","INCOMEINEQ","GINI","INEQ","A","2012",0.356,
"BGR","INCOMEINEQ","GINI","INEQ","A","2013",0.354,
"BGR","INCOMEINEQ","GINI","INEQ","A","2014",0.369,
"BGR","INCOMEINEQ","GINI","INEQ","A","2015",0.377,
"ROU","INCOMEINEQ","GINI","INEQ","A","2012",0.344,
"ROU","INCOMEINEQ","GINI","INEQ","A","2013",0.347,
"ROU","INCOMEINEQ","GINI","INEQ","A","2014",0.371,
"ROU","INCOMEINEQ","GINI","INEQ","A","2015",0.346,
