"Country","Esperanza de vida de Mujeres","GDP - per capita (PPP)"
"AFG","54.4",2000
"ALB","81.9",12500
"DZA","79.1",15200
"ASM","77.5",11200
"AND","85.4",49900
"AGO","63.4",6800
"AIA","84.5",12200
"ATG","79.6",26400
"ARG","81.1",20900
"ARM","79.2",9500
"ABW","80.7",37500
"AUS","85.0",50400
"AUT","84.7",50000
"AZE","76.9",17500
"BHS","75.8",32400
"BHR","81.8",49000
"BGD","76.5",4200
"BRB","78.4",18600
"BLR","79.5",18900
"BEL","84.2",46600
"BLZ","77.0",8300
"BEN","63.3",2300
"BMU","84.9",99400
"BTN","73.2",9000
"BOL","73.4",7600
"BIH","80.7",12800
"BWA","66.9",17000
"BRA","78.4",15600
"VGB","80.8",34200
"BRN","80.4",78900
"BGR","78.5",21800
"BFA","64.5",1900
"MMR","71.1",6300
"BDI","68.8",700
"CPV","75.6",7000
"KHM","68.6",4000
"CMR","64.0",3700
"CAN","85.9",48400
"CYM","84.4",43800
"CAF","55.7",700
"TCD","60.1",2300
"CHL","82.5",24600
"CHN","78.4",18200
"COL","80.0",14400
"COM","68.1",1600
"COD","62.8",800
"COG","62.7",6800
"COK","79.6",16700
"CRI","82.0",16900
"CIV","63.6",3900
"HRV","80.1",24700
"CUB","81.7",12300
"CUW","81.4",15000
"CYP","82.2",37200
"CZE","82.4",35500
"DNK","83.3",50100
"DJI","67.4",3600
"DMA","80.9",11000
"DOM","73.8",17000
"ECU","80.6",11500
"EGY","75.3",12700
"SLV","78.6",8000
"GNQ","66.9",37400
"ERI","68.8",1600
"EST","82.3",31700
"SWZ","60.7",10100
"ETH","69.7",2200
"FLK","NA",70800
"FRO","83.6",40000
"FJI","76.6",9800
"FIN","84.4",44500
"FRA","85.4",44100
"PYF","80.4",17000
"GAB","70.8",18100
"GMB","68.3",2600
"GEO","81.3",10700
"DEU","83.6",50800
"GHA","70.8",4700
"GIB","83.0",61700
"GRC","83.8",27800
"GRL","76.3",41800
"GRD","78.1",15100
"GUM","79.6",35600
"GTM","74.5",8200
"GGY","85.7",52500
"GIN","65.0",2200
"GNB","65.1",1900
"GUY","72.6",8100
"HTI","68.0",1800
"HND","78.3",5600
"HKG","86.1",64500
"HUN","80.6",29600
"ISL","85.6",52200
"IND","71.2",7200
"IDN","76.5",12400
"IRN","76.0",20100
"IRQ","74.6",16700
"IRL","83.7",73200
"IMN","83.6",84600
"ISR","85.0",36400
"ITA","85.3",38200
"JAM","77.1",9200
"JPN","89.5",42900
"JEY","84.9",56600
"JOR","77.1",9200
"KAZ","76.8",26300
"KEN","70.6",3500
"KIR","70.2",2000
"PRK","75.6",1700
"KOR","85.9",39500
"SRB","75.1",10900
"KWT","80.2",65800
"KGZ","76.2",3700
"LAO","67.9",7400
"LVA","80.1",27700
"LBN","79.8",19600
"LSO","53.0",3300
"LBR","67.0",1300
"LBY","79.1",9600
"LIE","85.0",139100
"LTU","81.1",32400
"LUX","85.2",105100
"MAC","87.7",122000
"MDG","68.9",1600
"MWI","65.3",1200
"MYS","78.9",29100
"MDV","78.9",19200
"MLI","63.9",2200
"MLT","85.0",41900
"MHL","76.5",3600
"MRT","67.0",4500
"MUS","80.1",22300
"MEX","79.6",19900
"FSM","76.1",3400
"MDA","76.0",6700
"MCO","93.3",115700
"MNG","75.2",13700
"MNE","79.8",17800
"MSR","74.1",34000
"MAR","75.1",8600
"MOZ","57.4",1300
"NAM","67.3",11200
"NRU","71.9",12300
"NPL","72.6",2700
"NLD","84.1",53900
"NCL","82.5",31100
"NZL","84.0",39000
"NIC","76.6",5900
"NER","60.8",1200
"NGA","62.3",5900
"NIU","NA",5800
"MNP","78.5",24500
"NOR","84.4",72100
"OMN","78.4",46000
"PAK","71.3",5400
"PLW","77.5",14700
"PAN","82.2",25400
"PNG","70.0",3700
"PRY","80.7",12800
"PER","76.9",13500
"PHL","73.8",8400
"POL","82.3",29600
"PRT","84.4",30500
"PRI","84.7",39400
"QAT","81.6",124100
"ROU","79.7",24600
"RUS","77.8",27900
"RWA","67.1",2100
"SHN","83.1",7800
"KNA","79.1",28200
"LCA","81.4",14400
"MAF","83.4",19300
"SPM","83.5",46200
"VCT","78.3",11500
"WSM","77.7",5700
"SMR","86.3",59000
"STP","67.8",3200
"SAU","77.8",54500
"SEN","65.4",3500
"SRB","79.4",15100
"SYC","80.2",29300
"SLE","62.6",1600
"SGP","88.9",94100
"SXM","81.3",66800
"SVK","81.6",33100
"SVN","84.4",34500
"SLB","79.0",2200
"ZAF","66.2",13600
"SSD","56.5",1600
"ESP","85.2",38400
"LKA","81.1",12900
"SDN","68.8",4300
"SUR","75.9",14900
"SWE","84.5",51200
"CHE","85.3",62100
"SYR","75.3",2900
"TWN","83.9",50500
"TJK","72.3",3200
"TZA","65.5",3200
"THA","78.9",17900
"TLS","71.1",6000
"TGO","69.3",1700
"TKL","NA",1000
"TON","78.8",5900
"TTO","76.9",31300
"TUN","78.1",11900
"TUR","78.2",27000
"TKM","74.5",18200
"TCA","83.3",29100
"TUV","70.2",3800
"UGA","70.5",2400
"UKR","77.9",8800
"ARE","80.5",68600
"GBR","83.5",44300
"USA","82.5",59800
"URY","81.2",22400
"UZB","78.0",6900
"VUT","76.4",2700
"VEN","74.7",12500
"VNM","77.1",6900
"VGB","83.2",37000
"WLF","83.4",3800
"PSE","78.1",4300
"ESH","67.0",2500
"YEM","69.3",2500
"ZMB","55.3",4000
"ZWE","64.5",2300
